,學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,日間/進修,學制班別,當學年度總量內核定新生招生名額(A),當學年度新生保留入學資格人數(B),當學年度總量內新生招生核定名額之實際註冊人數(C),當學年度各學系境外(新生)學生實際註冊人數 (E),當學年度新生註冊率(%)D=〔(C+E)/(A-B+E)〕＊100％,當學年度系所招生特色說明,當學年度招生特色說明資訊網
85,107,公立,技專校院,51,國立臺北商業大學,4141011,國際貿易科,日間,五專,50,0,50,...,100.0,(一)教學特色－1.培育專業素養：(1)配合就業市場發展與本系專長，持續修訂本位課程。(2)結合國際商務與商展講座之課程，參與全國性競賽。(3)開設國際商務研究所，提供學生進修管道與系內學術風氣。(4) 提升就業競爭力，強化證照輔導。(5)提升教學品質，增進學習成效。(6 )實務性課程規劃實務講座與資訊系統模擬操作，以增加實做經驗。(7)擴大企業實習、企業參訪、就業講座等增進學生職場經驗。(8)提升教師職能，強化教學品質。2.增廣國際視野：(1)提升國際化能力，規劃多元化語言課程，強化外語能力。(2)提升整合性能力，規劃「國際學程」全英語授課課程。(3)邀請國外專家學者短期講學。(4)國際交流及國外參訪。(二)落實社會關懷－1.推展本系品格領導教育。2.開設服務學習課程。,http://ib.ntub.edu.tw/intro1.htm
86,107,公立,技專校院,51,國立臺北商業大學,4141012,國際商務系,日間,學士班(含四技),58,0,55,...,94.83,(一)教學特色－1.培育專業素養：(1)配合就業市場發展與本系專長，持續修訂本位課程。(2)結合國際商務與商展講座之課程，參與全國性競賽。(3)開設國際商務研究所，提供學生進修管道與系內學術風氣。(4) 提升就業競爭力，強化證照輔導。(5)提升教學品質，增進學習成效。(6 )實務性課程規劃實務講座與資訊系統模擬操作，以增加實做經驗。(7)擴大企業實習、企業參訪、就業講座等增進學生職場經驗。(8)提升教師職能，強化教學品質。2.增廣國際視野：(1)提升國際化能力，規劃多元化語言課程，強化外語能力。(2)提升整合性能力，規劃「國際學程」全英語授課課程。(3)邀請國外專家學者短期講學。(4)國際交流及國外參訪。(二)落實社會關懷－1.推展本系品格領導教育。2.開設服務學習課程。,http://ib.ntub.edu.tw/intro1.htm
87,107,公立,技專校院,51,國立臺北商業大學,4141012,國際商務系,日間,二年制大學(二技),30,0,30,...,100.0,(一)教學特色－1.培育專業素養：(1)配合就業市場發展與本系專長，持續修訂本位課程。(2)結合國際商務與商展講座之課程，參與全國性競賽。(3)開設國際商務研究所，提供學生進修管道與系內學術風氣。(4) 提升就業競爭力，強化證照輔導。(5)提升教學品質，增進學習成效。(6 )實務性課程規劃實務講座與資訊系統模擬操作，以增加實做經驗。(7)擴大企業實習、企業參訪、就業講座等增進學生職場經驗。(8)提升教師職能，強化教學品質。2.增廣國際視野：(1)提升國際化能力，規劃多元化語言課程，強化外語能力。(2)提升整合性能力，規劃「國際學程」全英語授課課程。(3)邀請國外專家學者短期講學。(4)國際交流及國外參訪。(二)落實社會關懷－1.推展本系品格領導教育。2.開設服務學習課程。,http://ib.ntub.edu.tw/intro1.htm
88,107,公立,技專校院,51,國立臺北商業大學,4141012,國際商務系,進修,學士班(含四技),35,1,32,...,94.12,1.「商務外語能力」與三大專業領域之整合學習2.專業實務實習3.專業畢業門檻4.專業資訊化能力養成5.推展本系品格領導教育,http://ib.ntub.edu.tw/bin/home.php
89,107,公立,技專校院,51,國立臺北商業大學,4141012,國際商務系碩士班,日間,碩士班,15,0,15,...,100.0,(一)教學特色－1.培育專業素養：(1)配合就業市場發展與本系專長，持續修訂本位課程。(2)結合國際商務與商展講座之課程，參與全國性競賽。(3)開設國際商務研究所，提供學生進修管道與系內學術風氣。(4) 提升就業競爭力，強化證照輔導。(5)提升教學品質，增進學習成效。(6 )實務性課程規劃實務講座與資訊系統模擬操作，以增加實做經驗。(7)擴大企業實習、企業參訪、就業講座等增進學生職場經驗。(8)提升教師職能，強化教學品質。2.增廣國際視野：(1)提升國際化能力，規劃多元化語言課程，強化外語能力。(2)提升整合性能力，規劃「國際學程」全英語授課課程。(3)邀請國外專家學者短期講學。(4)國際交流及國外參訪。(二)落實社會關懷－1.推展本系品格領導教育。2.開設服務學習課程。,http://ib.ntub.edu.tw/intro1.htm
90,107,公立,技專校院,51,國立臺北商業大學,4199015,商業設計管理系,日間,二年制大學(二技),41,0,41,...,100.0,本系課程規劃主要涵蓋商品設計專業、創新產業知能、創意產業管理、行銷企劃與管理知能等三大課程領域；本系教育之重點，在於培育國家未來具創造力、想像力之人才，有好的想像力才能創造出新的價值，近年來政府推動兩兆雙星計畫，積極投入設計相關產業，推動各項計畫，其重點也在養成並扶植我國優秀創意之產業界及學界之人才，而台灣產業向來皆以快速而低成本的生產製造能力而聞名，要提高獲利與附加價值，創意正是其中的不二法門，而企業也不斷呼籲需要具有創造力、想像力的商業設計人才投入產業。因此，為培養學生基礎設計能力、創意商品設計之專業能力及國際專業競爭能力，本系發展之具體目標和特色如下所述：（一）加強發展結合地方產業之務實教學。（二）提升國際化之設計專業競爭力。（三）提昇學生外語能力，促進多元文化交流。（四）強化創意產業知識，提升跨領域整合的專業能力。（五）培育具備多元思考與判斷能力之高水準商業設計人才。,http://cdm.ntub.edu.tw/bin/home.php
91,107,公立,技專校院,51,國立臺北商業大學,4199015,商業設計管理系,日間,學士班(含四技),41,0,41,...,100.0,本系課程規劃主要涵蓋商品設計專業、創新產業知能、創意產業管理、行銷企劃與管理知能等三大課程領域；本系教育之重點，在於培育國家未來具創造力、想像力之人才，有好的想像力才能創造出新的價值，近年來政府推動兩兆雙星計畫，積極投入設計相關產業，推動各項計畫，其重點也在養成並扶植我國優秀創意之產業界及學界之人才，而台灣產業向來皆以快速而低成本的生產製造能力而聞名，要提高獲利與附加價值，創意正是其中的不二法門，而企業也不斷呼籲需要具有創造力、想像力的商業設計人才投入產業。因此，為培養學生基礎設計能力、創意商品設計之專業能力及國際專業競爭能力，本系發展之具體目標和特色如下所述：（一）加強發展結合地方產業之務實教學。（二）提升國際化之設計專業競爭力。（三）提昇學生外語能力，促進多元文化交流。（四）強化創意產業知識，提升跨領域整合的專業能力。（五）培育具備多元思考與判斷能力之高水準商業設計人才。,http://cdm.ntub.edu.tw/bin/home.php
92,107,公立,技專校院,51,國立臺北商業大學,4199021,貿易實務法律暨談判碩士學位學程,日間,碩士班,12,0,12,...,100.0,循著「實務導向」及「國際導向」為產業界培育兼具整合性經貿法律專業知識與英語交涉能力的實戰人才，乃本學程之基本定位。在「實務導向」及「國際導向」的原則下，所謂「整合性經貿法律專業知識」，是著眼於經貿實務，以實用法律知識為經，廣博的財經知識為緯的一套綜合性應用性知識體系。而所謂「英語交涉能力」並非以英語文能力為已足，而是一套融合了理論與實務的跨國界溝通、說服、談判概念與技巧。,http://mplngt.ntub.edu.tw/bin/home.php
93,107,公立,技專校院,51,國立臺北商業大學,6131017,資訊管理系,日間,二年制大學(二技),25,0,25,...,100.0,重視學生的技能與實務能力培養，加強專題製作及技能檢定等多方面養成教育，使學生具備嫻熟的資訊技術管理及應用之能力。同時鼓勵學生參加全國性競賽，且屢獲佳績。課程規劃著重於培育學生具備廣泛而充實的資訊技術與管理基礎知識，並重視電子商務的運用、數位學習以及其他的資訊管理相關知識。同時對資訊系統與管理實務的問題具有規劃、分析與決策的能力。培養兼具資訊科技與管理科學專業知識之人才，使能從事企業資訊系統之規劃、開發、管理與效能評估等工作。,http://imd.ntub.edu.tw/bin/home.php
94,107,公立,技專校院,51,國立臺北商業大學,6131017,資訊管理系,日間,學士班(含四技),25,0,23,...,92.0,課程隨社會脈動而彈性調整，旨在培養符合現代企業所需之各階層資訊管理人才。本系科課程方向著重於「網路管理與應用」、「資料庫系統管理」、「多媒體製作與應用」和「行動商務應用」等領域。課程規劃著重於培育學生具備廣泛而充實的資訊技術與管理基礎知識，並重視電子商務的運用、數位學習以及其他的資訊管理相關知識。同時對資訊系統與管理實務的問題具有規劃、分析與決策的能力。培養兼具資訊科技與管理科學專業知識之人才，使能從事企業資訊系統之規劃、開發、管理與效能評估等工作。,http://imd.ntub.edu.tw/bin/home.php
95,107,公立,技專校院,51,國立臺北商業大學,6131017,資訊管理系,進修,學士班(含四技),53,1,51,...,98.08,課程規劃著重於培育學生具備廣泛而充實的資訊技術與管理基礎知識，並重視電子商務的運用、數位學習以及其他的資訊管理相關知識。同時對資訊系統與管理實務的問題具有規劃、分析與決策的能力。培養兼具資訊科技與管理科學專業知識之人才，使能從事企業資訊系統之規劃、開發、管理與效能評估等工作。,http://imd.ntub.edu.tw/bin/home.php
96,107,公立,技專校院,51,國立臺北商業大學,6131017,資訊管理系,進修,二年制大學(二技),46,0,46,...,100.0,課程規劃著重於培育學生具備廣泛而充實的資訊技術與管理基礎知識，並重視電子商務的運用、數位學習以及其他的資訊管理相關知識。同時對資訊系統與管理實務的問題具有規劃、分析與決策的能力。培養兼具資訊科技與管理科學專業知識之人才，使能從事企業資訊系統之規劃、開發、管理與效能評估等工作。,http://imd.ntub.edu.tw/bin/home.php
97,107,公立,技專校院,51,國立臺北商業大學,6131017,資訊管理科,日間,五專,50,0,49,...,98.0,課程規劃以多元資訊技術結合管理科學實務為目標。同時為提昇學生學習與應用實務的能力，透過專題製作的訓練，學習團隊合作的經驗以及資訊科技與管理科學的整合應用。,http://imd.ntub.edu.tw/bin/home.php
98,107,公立,技專校院,51,國立臺北商業大學,6131018,資訊與決策科學研究所,日間,碩士班,15,0,15,...,100.0,"(一) 培育目標明確 :訂定「資管專才」、「務實學習」、「網路達人」、「創新研究」、「國際宏觀」五項核心能力指標，以培養學生具備整合資訊技術與決策能力之高階資訊決策專業人才。(二) 專題演講課程密集、定期舉辦企業參訪活動、積極舉辦學術研討會,藉此增進學生專業素養及學術交流。(三)學術論文發表數量穩、研究計畫成果豐碩,以提昇論文撰寫能力。鼓勵學生參與國際性或全國性學術研討會，進行論文發表。(三)加強英語培育能力、鼓勵學生考取專業證照。(四)開拓產業碩士專班 :配合政府經濟發展與社會需求，厚植研發潛力，加速科技產業發展，以培養企業所需之高階資訊技術專業人才。(十)執行特色典範計畫:執行教育部補助技專校院建立特色典範計畫「運用開放源碼統計軟體建置商管學院教學、研發與產學合作平台計畫」。計畫執行成效包括校園無線網路建置、伺服器及網站架設、R教學研發專業教室規劃等。",http://ids.ntub.edu.tw/bin/home.php
99,108,公立,技專校院,51,國立臺北商業大學,2112007,數位多媒體設計系,日間,二年制大學(二技),20,0,16,...,80.0,本系教育目標為「培育具有人文關懷及創客思維的實務型遊戲與動畫人才」，以「數位遊戲設計」、「數位動畫設計」為教學兩大主軸。其中「數位遊戲設計」以遊戲企劃、遊戲美術為主，程式設計為輔，利用角色、場景、關卡設計與動畫特效，將人機互動應用在學習及娛樂上，並在電腦及行動設備展示成果；而「數位動畫設計」則以故事、角色、影片、音樂、文字及聲音整合包裝創意，經過後製修飾，成為可以感動人心的作品。                                                              本系以訓練學生達成「創藝科技」（CAST，Creative， Art， Science， Technology）為目標，所謂「創（Creative）」即是以創意活躍學生思維行動能力（Activity）。所謂「藝（Arts）」即是以藝術美學提升學生人文涵養（Accomplishment）。所謂「科（Science）」即是以科學清晰學生創意實作方法（Approach）。所謂「技（Technology）」即是以技術精湛學生實務專業能力（Ability）。創藝科技是一種創客思維的理念，更是提升人文關懷的途徑，透過鑄造與磨練提升學生4A（Activity，Accomplishment，Approach，Ability）本質。,http://dmd.ntub.edu.tw/
100,108,公立,技專校院,51,國立臺北商業大學,2112007,數位多媒體設計系,日間,學士班(含四技),36,0,34,...,94.44,本系教育目標為「培育具有人文關懷及創客思維的實務型遊戲與動畫人才」，以「數位遊戲設計」、「數位動畫設計」為教學兩大主軸。其中「數位遊戲設計」以遊戲企劃、遊戲美術為主，程式設計為輔，利用角色、場景、關卡設計與動畫特效，將人機互動應用在學習及娛樂上，並在電腦及行動設備展示成果；而「數位動畫設計」則以故事、角色、影片、音樂、文字及聲音整合包裝創意，經過後製修飾，成為可以感動人心的作品。                                                              本系以訓練學生達成「創藝科技」（CAST，Creative， Art， Science， Technology）為目標，所謂「創（Creative）」即是以創意活躍學生思維行動能力（Activity）。所謂「藝（Arts）」即是以藝術美學提升學生人文涵養（Accomplishment）。所謂「科（Science）」即是以科學清晰學生創意實作方法（Approach）。所謂「技（Technology）」即是以技術精湛學生實務專業能力（Ability）。創藝科技是一種創客思維的理念，更是提升人文關懷的途徑，透過鑄造與磨練提升學生4A（Activity，Accomplishment，Approach，Ability）本質。,http://dmd.ntub.edu.tw/
101,108,公立,技專校院,51,國立臺北商業大學,2112007,數位多媒體設計系,進修,學士班(含四技),33,0,33,...,100.0,本系教育目標為「培育具有人文關懷及創客思維的實務型遊戲與動畫人才」，以「數位遊戲設計」、「數位動畫設計」為教學兩大主軸。其中「數位遊戲設計」以遊戲企劃、遊戲美術為主，程式設計為輔，利用角色、場景、關卡設計與動畫特效，將人機互動應用在學習及娛樂上，並在電腦及行動設備展示成果；而「數位動畫設計」則以故事、角色、影片、音樂、文字及聲音整合包裝創意，經過後製修飾，成為可以感動人心的作品。                                                              本系以訓練學生達成「創藝科技」（CAST，Creative， Art， Science， Technology）為目標，所謂「創（Creative）」即是以創意活躍學生思維行動能力（Activity）。所謂「藝（Arts）」即是以藝術美學提升學生人文涵養（Accomplishment）。所謂「科（Science）」即是以科學清晰學生創意實作方法（Approach）。所謂「技（Technology）」即是以技術精湛學生實務專業能力（Ability）。創藝科技是一種創客思維的理念，更是提升人文關懷的途徑，透過鑄造與磨練提升學生4A（Activity，Accomplishment，Approach，Ability）本質。,http://dmd.ntub.edu.tw/
102,108,公立,技專校院,51,國立臺北商業大學,2122024,創意設計與經營研究所,日間,碩士班,9,0,9,...,100.0,配合本校的發展願景，凸顯本校以「商業」及「創新」為專長領域之教學特色，整合科技與設計及經營，達成創新創業之設計加值，重視整合創意設計與行銷管理，聚焦於「創意設計、創新經營與知識整合」之學術研究與實務應用，研訂學生應具備 （1）知識整合與設計思維能力；（2）數位行銷與品牌經營能力；以及（3）創意激發與創業管理能力等之核心能力，並以培育具備整合「創意設計」與「經營管理」之跨領域高階人才為教育目標。本研究所為配合國內設計產業發展趨勢與人才需求，根據本研究之發展定位，擬定以「創意設計」與「創新經營」及「知識整合」為發展重點，未來發展架構如圖1所示。 另外，本研究所將善用國內既有的教育資源，建立策略聯盟，在課程及教學活動上進行資源共享，並尋求各學會或協會在課程、業界師資、以及實習等方面之支援與協助，以體現「理論」與「實務」結合之目標。&amp;nbsp;,http://icdm.ntub.edu.tw/
103,108,公立,技專校院,51,國立臺北商業大學,2123019,商品創意經營系,日間,二年制大學(二技),41,0,26,...,63.41,1.提升學生之文化美學素養，具有靈活的創意思考能力，以孕育文化創意人才。 2.訓練學生充實語文表達、商業管理和美學設計技能。 3.理論與實務並重，配合業界或國家政策之需求，成為未來創意產業之重要尖兵。 4.聯結區域特色，結合航空城與當地產業與社區特色， 攜手共創榮景。 5.加強學術文化交流，定期辦理相關講座、研討會，或與業界作資源、經驗之交流，以促進學術研究之進步。 6.產學研發交流，推動學術研究與實務之配合，鼓勵教師爭取國家型計畫以及桃園航空城相關產業計畫，舉如提供人才服務升級培訓計畫等。 7.鼓勵取得證照和參加國內外競賽。 8.聘請業界教師協同教學，強化學生與業界的聯結。&amp;nbsp;,http://ccm.ntub.edu.tw/
104,108,公立,技專校院,51,國立臺北商業大學,2123019,商品創意經營系,日間,學士班(含四技),41,0,38,...,92.68,1.提升學生之文化美學素養，具有靈活的創意思考能力，以孕育文化創意人才。 2.訓練學生充實語文表達、商業管理和美學設計技能。 3.理論與實務並重，配合業界或國家政策之需求，成為未來創意產業之重要尖兵。 4.聯結區域特色，結合航空城與當地產業與社區特色， 攜手共創榮景。 5.加強學術文化交流，定期辦理相關講座、研討會，或與業界作資源、經驗之交流，以促進學術研究之進步。 6.產學研發交流，推動學術研究與實務之配合，鼓勵教師爭取國家型計畫以及桃園航空城相關產業計畫，舉如提供人才服務升級培訓計畫等。 7.鼓勵取得證照和參加國內外競賽。 8.聘請業界教師協同教學，強化學生與業界的聯結。&amp;nbsp;,http://ccm.ntub.edu.tw/
105,108,公立,技專校院,51,國立臺北商業大學,2311006,應用外語系,日間,二年制大學(二技),29,0,29,...,100.0,(一)承襲傳統、創新進步:承襲優良傳統及資源，亦具新設科系追求創新進步之動能。(二)師資優良、領先他校:師資素以經驗豐富、教學認真著稱，近年來復積極延攬具備全外語授課能力之國內外優秀學者，大幅強化師資陣容。(三)全面小班、厚植基礎:以「厚植基礎，多元應用」為方針，重視英語聽說讀寫譯基礎訓練，實施小班教學，以提升學生英語能力。(四)五類課程、聚焦而多元:課程設計符合產業界需求為主軸之「外語+經貿實務+電腦應用+團隊互動」培育套案，一方面拉出明確之培育主軸同時，另一方面鼓勵學生適才適性多元發展。 (五)教室e化設備充實，以提高學生學習效果。(六)畢業出路、升學就業皆宜:培育各行各業外語(尤其英語)人才為目標，尤其聚焦於國際商務、外語教學、翻譯、文化創意等行業。並兼顧學生升學之需求，兼顧學生升學之需求，輔導其繼續於大學、技職院校相關科系或研究所深造。,http://afl.ntub.edu.tw
106,108,公立,技專校院,51,國立臺北商業大學,2311006,應用外語系,日間,學士班(含四技),24,0,24,...,100.0,(一)承襲傳統、創新進步:承襲優良傳統及資源，亦具新設科系追求創新進步之動能。(二)師資優良、領先他校:師資素以經驗豐富、教學認真著稱，近年來復積極延攬具備全外語授課能力之國內外優秀學者，大幅強化師資陣容。(三)全面小班、厚植基礎:以「厚植基礎，多元應用」為方針，重視英語聽說讀寫譯基礎訓練，實施小班教學，以提升學生英語能力。(四)五類課程、聚焦而多元:課程設計符合產業界需求為主軸之「外語+經貿實務+電腦應用+團隊互動」培育套案，一方面拉出明確之培育主軸同時，另一方面鼓勵學生適才適性多元發展。 (五)教室e化設備充實，以提高學生學習效果。(六)畢業出路、升學就業皆宜:培育各行各業外語(尤其英語)人才為目標，尤其聚焦於國際商務、外語教學、翻譯、文化創意等行業。並兼顧學生升學之需求，兼顧學生升學之需求，輔導其繼續於大學、技職院校相關科系或研究所深造。,http://afl.ntub.edu.tw/
107,108,公立,技專校院,51,國立臺北商業大學,2311006,應用外語系,進修,二年制大學(二技),80,0,78,...,97.5,(一)承襲傳統、創新進步:承襲優良傳統及資源，亦具新設科系追求創新進步之動能。(二)師資優良、領先他校:師資素以經驗豐富、教學認真著稱，近年來復積極延攬具備全外語授課能力之國內外優秀學者，大幅強化師資陣容。(三)全面小班、厚植基礎:以「厚植基礎，多元應用」為方針，重視英語聽說讀寫譯基礎訓練，實施小班教學，以提升學生英語能力。(四)五類課程、聚焦而多元:課程設計符合產業界需求為主軸之「外語+經貿實務+電腦應用+團隊互動」培育套案，一方面拉出明確之培育主軸同時，另一方面鼓勵學生適才適性多元發展。 (五)教室e化設備充實，以提高學生學習效果。(六)畢業出路、升學就業皆宜:培育各行各業外語(尤其英語)人才為目標，尤其聚焦於國際商務、外語教學、翻譯、文化創意等行業。並兼顧學生升學之需求，兼顧學生升學之需求，輔導其繼續於大學、技職院校相關科系或研究所深造。,http://afl.ntub.edu.tw/
108,108,公立,技專校院,51,國立臺北商業大學,2311006,應用外語科,日間,五專,50,0,49,...,98.0,(一)承襲傳統、創新進步:承襲優良傳統及資源，亦具新設科系追求創新進步之動能。(二)師資優良、領先他校:師資素以經驗豐富、教學認真著稱，近年來復積極延攬具備全外語授課能力之國內外優秀學者，大幅強化師資陣容。(三)全面小班、厚植基礎:以「厚植基礎，多元應用」為方針，重視英語聽說讀寫譯基礎訓練，實施小班教學，以提升學生英語能力。(四)五類課程、聚焦而多元:課程設計符合產業界需求為主軸之「外語+經貿實務+電腦應用+團隊互動」培育套案，一方面拉出明確之培育主軸同時，另一方面鼓勵學生適才適性多元發展。 (五)教室e化設備充實，以提高學生學習效果。(六)畢業出路、升學就業皆宜:培育各行各業外語(尤其英語)人才為目標，尤其聚焦於國際商務、外語教學、翻譯、文化創意等行業。並兼顧學生升學之需求，兼顧學生升學之需求，輔導其繼續於大學、技職院校相關科系或研究所深造。&amp;nbsp;,http://afl.ntub.edu.tw
109,108,公立,技專校院,51,國立臺北商業大學,2311006,應用外語科,進修,附設進專,109,5,109,...,100.0,(一)承襲傳統、創新進步:承襲優良傳統及資源，亦具新設科系追求創新進步之動能。(二)師資優良、領先他校:師資素以經驗豐富、教學認真著稱，近年來復積極延攬具備全外語授課能力之國內外優秀學者，大幅強化師資陣容。(三)全面小班、厚植基礎:以「厚植基礎，多元應用」為方針，重視英語聽說讀寫譯基礎訓練，實施小班教學，以提升學生英語能力。(四)五類課程、聚焦而多元:課程設計符合產業界需求為主軸之「外語+經貿實務+電腦應用+團隊互動」培育套案，一方面拉出明確之培育主軸同時，另一方面鼓勵學生適才適性多元發展。 (五)教室e化設備充實，以提高學生學習效果。(六)畢業出路、升學就業皆宜:培育各行各業外語(尤其英語)人才為目標，尤其聚焦於國際商務、外語教學、翻譯、文化創意等行業。並兼顧學生升學之需求，兼顧學生升學之需求，輔導其繼續於大學、技職院校相關科系或研究所深造。,http://afl.ntub.edu.tw/
110,108,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊系,日間,二年制大學(二技),25,0,25,...,100.0,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定   。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/
111,108,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊系,日間,學士班(含四技),38,0,38,...,100.0,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定     。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/
112,108,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊系,進修,二年制大學(二技),30,0,30,...,100.0,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定    。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/
113,108,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊系,進修,學士班(含四技),32,0,32,...,100.0,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定    。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/
114,108,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊系會計財稅碩士班,日間,碩士班,8,0,8,...,100.0,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定   。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/
115,108,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊科,日間,五專,50,0,50,...,100.0,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定    。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/
116,108,公立,技專校院,51,國立臺北商業大學,4121013,財務金融系,日間,二年制大學(二技),35,0,35,...,100.0,整體而言，本系重點發展著重：      (一)課程設計兼重理論與實務，強化金融專業核心領域的課程設計。      (二)結合資訊科技，充分利用金融實驗室，透過模擬及分析各項金融工具，培育具實務操作經驗之金融商品操作人才。     (三)拓展與業者簽訂產學合作計畫，更積極延攬合作機構之專業經理人教授本系開設的實務課程，期理論與實務並重。     (四)強調專業證照之必要性，鼓勵學子取得金融專業證照。      (五)本系循序漸進提供完整之金融實務課程與金融實習，使學生在學期間即能充分瞭解金融業務，培訓優異之金融人員,http://fin.ntub.edu.tw
